20, 0.00, 0.00,-13.00,-7.00,-13.00,-7.00,-13.00,-7.00,-13.00,-7.00,-13.00,-7.00,-14.00,-6.00,-14.00,-5.00,-14.00,-4.00,-14.00,-3.00,-14.00,-4.00,-14.00,-6.00,-13.00,-4.00,-13.00,-5.00,-14.00,-6.00,-14.00,-4.00,-16.00,-5.00,-17.00,-5.00,-17.00,-4.00,-18.00,-5.00,-18.00,-5.00,-17.00,-4.00,-17.00,-5.00,-15.00,-4.00,-14.00,-2.00,-14.00,-2.00,-14.00,-2.00,-9.00,-5.00,-9.00,-7.00,-8.00,-5.00,-10.00,-7.00,-11.00,-8.00,-11.00,-8.00,-11.00,-8.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
21, 0.00, 0.00,-16.00,-6.00,-16.00,-6.00,-16.00,-6.00,-16.00,-6.00,-16.00,-6.00,-16.00,-7.00,-17.00,-6.00,-18.00,-5.00,-19.00,-5.00,-20.00,-5.00,-20.00,-6.00,-19.00,-4.00,-20.00,-8.00,-19.00,-7.00,-19.00,-6.00,-19.00,-4.00,-20.00,-5.00,-21.00,-4.00,-21.00,-4.00,-22.00,-4.00,-22.00,-4.00,-21.00,-4.00,-20.00,-4.00,-18.00,-1.00,-18.00,-1.00,-18.00,-1.00,-15.00,-5.00,-15.00,-7.00,-15.00,-7.00,-15.00,-7.00,-18.00,-8.00,-18.00,-8.00,-18.00,-8.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
22, 0.00, 0.00,-25.00,-6.00,-25.00,-6.00,-25.00,-6.00,-25.00,-6.00,-25.00,-6.00,-25.00,-5.00,-25.00,-4.00,-26.00,-4.00,-26.00,-3.00,-26.00,-4.00,-26.00,-5.00,-26.00,-5.00,-25.00,-6.00,-24.00,-6.00,-24.00,-5.00,-24.00,-4.00,-24.00,-4.00,-24.00,-3.00,-25.00,-3.00,-25.00,-4.00,-25.00,-4.00,-24.00,-4.00,-24.00,-4.00,-24.00,-4.00,-24.00,-4.00,-24.00,-4.00,-24.00,-4.00,-19.00,-7.00,-19.00,-7.00,-19.00,-7.00,-16.00,-6.00,-16.00,-6.00,-16.00,-6.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
23, 0.00, 0.00,-24.00,-2.00,-24.00,-2.00,-24.00,-2.00,-24.00,-2.00,-24.00,-2.00,-24.00,-2.00,-25.00,-2.00,-25.00,-2.00,-24.00,-1.00,-24.00,-1.00,-24.00,-2.00,-24.00,-2.00,-24.00,-2.00,-24.00,-3.00,-24.00,-3.00,-25.00,-2.00,-25.00,-2.00,-26.00,-2.00,-27.00,-2.00,-27.00,-2.00,-27.00,-2.00,-26.00,-2.00,-25.00,-2.00,-23.00,-4.00,-23.00,-4.00,-23.00,-4.00,-23.00,-4.00,-17.00,-6.00,-16.00,-6.00,-16.00,-6.00,-17.00,-8.00,-17.00,-8.00,-17.00,-8.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
24, 0.00, 0.00,-22.00,-8.00,-22.00,-8.00,-22.00,-8.00,-22.00,-8.00,-22.00,-8.00,-22.00,-9.00,-21.00,-5.00,-21.00,-5.00,-21.00,-5.00,-21.00,-6.00,-21.00,-8.00,-19.00,-2.00,-19.00,-6.00,-19.00,-7.00,-18.00,-2.00,-19.00,-4.00,-19.00,-7.00,-19.00,-5.00,-20.00,-6.00,-19.00,-4.00,-18.00,-3.00,-17.00,-6.00,-17.00,-6.00,-16.00,-8.00,-16.00,-8.00,-16.00,-8.00,-16.00,-8.00,-12.00,-9.00,-11.00,-6.00,-4.00,2.00,-4.00,2.00,-4.00,2.00,-4.00,2.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
25, 0.00, 0.00,-21.00,-8.00,-21.00,-8.00,-21.00,-8.00,-21.00,-8.00,-21.00,-8.00,-21.00,-8.00,-19.00,-5.00,-20.00,-6.00,-20.00,-6.00,-20.00,-6.00,-19.00,-5.00,-19.00,-5.00,-19.00,-8.00,-19.00,-7.00,-18.00,-5.00,-18.00,-3.00,-18.00,-3.00,-19.00,-2.00,-19.00,0.00,-21.00,-2.00,-21.00,-2.00,-21.00,-2.00,-20.00,-2.00,-18.00,-2.00,-18.00,-2.00,-18.00,-2.00,-13.00,-6.00,-12.00,-7.00,-11.00,-5.00,-12.00,-6.00,-13.00,-5.00,-13.00,-5.00,-13.00,-5.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
26, 0.00, 0.00,-20.00,-3.00,-20.00,-3.00,-20.00,-3.00,-20.00,-3.00,-20.00,-3.00,-19.00,-3.00,-19.00,-3.00,-18.00,-2.00,-18.00,-2.00,-18.00,-3.00,-19.00,-6.00,-19.00,-3.00,-20.00,-3.00,-20.00,-2.00,-20.00,-1.00,-12.00,2.00,-21.00,0.00,-21.00,0.00,-21.00,1.00,-21.00,1.00,-21.00,0.00,-20.00,0.00,-18.00,1.00,-17.00,-2.00,-17.00,-2.00,-17.00,-2.00,-15.00,-2.00,-15.00,-3.00,-14.00,-2.00,-14.00,-2.00,-14.00,-2.00,-14.00,-2.00,-14.00,-2.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
27, 0.00, 0.00,-18.00,0.00,-18.00,0.00,-18.00,0.00,-18.00,0.00,-18.00,0.00,-18.00,0.00,-18.00,1.00,-18.00,2.00,-18.00,2.00,-18.00,2.00,-17.00,2.00,-17.00,2.00,-17.00,0.00,-17.00,1.00,-16.00,2.00,-8.00,4.00,-17.00,2.00,-17.00,3.00,-16.00,6.00,-16.00,5.00,-16.00,3.00,-15.00,5.00,-13.00,6.00,-13.00,3.00,-13.00,3.00,-13.00,3.00,-10.00,3.00,-10.00,4.00,-11.00,3.00,-12.00,3.00,-13.00,4.00,-13.00,4.00,-13.00,4.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
28, 0.00, 0.00,-18.00,5.00,-18.00,5.00,-18.00,5.00,-18.00,5.00,-18.00,5.00,-18.00,5.00,-18.00,5.00,-17.00,7.00,-18.00,5.00,-18.00,5.00,-17.00,5.00,-17.00,5.00,-16.00,5.00,-15.00,6.00,-14.00,7.00,-14.00,7.00,-15.00,8.00,-15.00,9.00,-15.00,11.00,-16.00,10.00,-16.00,8.00,-16.00,12.00,-15.00,13.00,-15.00,12.00,-13.00,13.00,-13.00,13.00,-10.00,8.00,-9.00,7.00,-9.00,7.00,-9.00,7.00,-10.00,8.00,-10.00,8.00,-10.00,8.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
29, 0.00, 0.00,-16.00,15.00,-16.00,15.00,-16.00,15.00,-16.00,15.00,-16.00,15.00,-15.00,16.00,-15.00,15.00,-14.00,15.00,-13.00,15.00,-13.00,14.00,-12.00,13.00,-12.00,11.00,-11.00,12.00,-11.00,12.00,-11.00,13.00,-11.00,14.00,-11.00,15.00,-11.00,15.00,-11.00,14.00,-11.00,16.00,-11.00,15.00,-11.00,16.00,-9.00,17.00,-9.00,16.00,-7.00,15.00,-7.00,15.00,-7.00,15.00,-4.00,12.00,-4.00,12.00,-4.00,12.00,-4.00,14.00,-4.00,14.00,-4.00,14.00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
